REGION	UNIT	DATE	INCIDENT NUMBER	ACRES	FIRE NAME	CAUSE	LAT	LONG
Three	San Luis Obispo	7/15/2009	5333	0.1	ESCABROSO RD / MORRO RD	Undetermined	35.4611	-120.7381
Three	San Luis Obispo	7/16/2009	5358	0.2	HIGHWAY 2	Campfire	35.66	-120.5611
Three	San Luis Obispo	7/18/2009	5419	0.1	KING	Campfire	35.5039	-120.605
Three	San Luis Obispo	7/18/2009	5448	0.1	DUNE	Undetermined	35.105	-120.6311
Three	San Luis Obispo	7/18/2009	542	0.1		Undetermined	35.3461	-120.6289
Three	San Luis Obispo	7/19/2009	5453	0.3	SUNBURY	Undetermined	35.5719	-121.1
Three	San Luis Obispo	7/19/2009	5460	123	LAKE	Campfire	35.7531	-120.8911
Three	San Luis Obispo	7/21/2009	166	0.1		Undetermined	35.7089	-120.695
Three	San Luis Obispo	7/21/2009	5518	2	RANCHITA	Undetermined	35.7731	-120.595
Three	San Luis Obispo	7/23/2009	168	0.1		Undetermined	35.65	-120.72
Three	San Luis Obispo	7/23/2009	5561	42	NACIMIENTO	Undetermined	35.6569	-120.7261
Three	San Luis Obispo	7/24/2009	5589	0.1	58	Undetermined	35.4219	-120.6311
Three	San Luis Obispo	7/25/2009	5629	0.3	PARKHILL	Undetermined	35.3781	-120.4381
Three	San Luis Obispo	7/26/2009	5659	0.1	SPRINGS	Undetermined	35.6239	-120.615
Three	San Luis Obispo	7/26/2009	174	0.1		Undetermined	35.615	-120.6131
Three	San Luis Obispo	7/28/2009	5714	0.1	EL CAMINO REAL  /S HWY 10	Campfire	35.3831	-120.63
Three	San Luis Obispo	7/28/2009	571	0.1		Undetermined	35.3461	-120.6289
Three	San Luis Obispo	8/4/2009	5905	0.1	TV TOWER RD / BOTANICAL T	Undetermined	35.3619	-120.6569
Three	San Luis Obispo	8/6/2009	5927	1	CAMINO EDNA  / CORBETT CA	Undetermined	35.1919	-120.5861
Three	San Luis Obispo	8/7/2009	536	0.1		Undetermined	35.0319	-120.4931
Three	San Luis Obispo	8/7/2009	5980	3	S RIVER RD / LOTHAR LN	Undetermined	35.58	-120.6589
Three	San Luis Obispo	8/7/2009	5978	1.5	WEST	Campfire	35.0319	-120.4931
Three	San Luis Obispo	8/8/2009	6003	0.1	POGUE	Campfire	35.0169	-120.4511
Three	San Luis Obispo	8/8/2009	6020	0.1	MERRY	Undetermined	35.0361	-120.4869
Three	San Luis Obispo	8/10/2009	6073	0.5	ONTARIO	Undetermined	35.2239	-120.6919
Three	San Luis Obispo	8/13/2009	6144	1	THOMPSON	Campfire	34.9961	-120.4339
Three	San Luis Obispo	8/17/2009	6269	0.1	PC451  Arson/	Undetermined	35.1531	-120.5869
Three	San Luis Obispo	8/23/2009	6400	1	DIVISION ST / GUADALUPE R	Undetermined	34.9911	-120.57
Three	San Luis Obispo	8/24/2009	6443	0.3	CRESTON RD  SLO_CO	Undetermined	35.5861	-120.63
Three	San Luis Obispo	8/28/2009	6535	1	ZENON WY  SLO_CO	Undetermined	35.06	-120.5639
Three	San Luis Obispo	8/29/2009	659	0.1		Undetermined	35.5431	-120.7639
Three	San Luis Obispo	8/29/2009	6597	0.1	HIDDEN	Undetermined	35.5431	-120.765
Three	San Luis Obispo	8/29/2009	6576	1	PINES	Undetermined	35.5769	-121.0969
Three	San Luis Obispo	8/31/2009	6644	0.3	SHADOW CANYON RD  SLO_CO	Campfire	35.5589	-120.8419
Three	San Luis Obispo	9/2/2009	6690	0.1	MORRO	Undetermined	35.3989	-120.8289
Three	San Luis Obispo	9/4/2009	6742	1	OSOS	Undetermined	35.2769	-120.7119
Three	San Luis Obispo	9/6/2009	6812	0.1	7TH ST  LOS_OSOS	Undetermined	35.3219	-120.835
Three	San Luis Obispo	9/6/2009	6826	1	LOS BERROS RD / POMEROY R	Campfire	35.0789	-120.5431
Three	San Luis Obispo	9/10/2009	6920	0.1	SANTA RITA RD / SANTA RIT	Undetermined	35.5269	-120.7969
Three	San Luis Obispo	9/10/2009	6911	1	OLIVE	Undetermined	35.7789	-120.195
Three	San Luis Obispo	9/16/2009	7051	0.1	SEE CANYON RD  SLO_CO	Campfire	35.1981	-120.715
Three	San Luis Obispo	9/22/2009	7224	1	HAZEL LN / DIVISION ST	Undetermined	35.0211	-120.4889
Three	San Luis Obispo	9/22/2009	7214	0.1	VINEYARD DR  SLO_CO	Campfire	35.5531	-120.7511
Three	San Luis Obispo	9/22/2009	7213	1	N HWY 1  / KANSAS AVE	Playing With Fire	35.3211	-120.7169
Three	San Luis Obispo	9/24/2009	7282	0.1	ANDERSON	Undetermined	35.5739	-120.7331
Three	San Luis Obispo	9/24/2009	7276	1	CRIPPLE CREEK RD / CRESTO	Campfire	35.5711	-120.5611
Three	San Luis Obispo	9/25/2009	7319	0.7	CURL	Undetermined	35.5019	-120.4819
Three	San Luis Obispo	9/25/2009	7324	0.1	NACIMIENTO RESORT LODGES	Undetermined	35.755	-120.9011
Three	San Luis Obispo	9/27/2009	7381	0.1	ORCUTT	Campfire	35.2439	-120.6131
Three	San Luis Obispo	9/29/2009	7418	0.1	RESERVOIR	Undetermined	35.2961	-120.63
Three	San Luis Obispo	10/1/2009	7492	12.1	SCHOOL	Undetermined	35.5581	-121.0761
Three	San Luis Obispo	10/1/2009	7494	0.1	S HWY 101  / AVILA BEACH	Undetermined	35.1761	-120.6981
Three	San Luis Obispo	10/3/2009	230	0.1		Undetermined	35.6031	-120.605
Three	San Luis Obispo	10/3/2009	7544	0.3	LINNE	Undetermined	35.5969	-120.5981
Three	San Luis Obispo	10/4/2009	7567	0.1	S HALCYON RD / EL CAMPO R	Undetermined	35.0739	-120.5761
Three	San Luis Obispo	10/7/2009	7633	0.1	BEACON	Undetermined	35.6739	-120.6081
Three	San Luis Obispo	10/8/2009	7641	0.1	COTTONWOOD	Campfire	35.7831	-120.2019
Three	San Luis Obispo	10/9/2009	7680	1	EAGLE	Undetermined	35.4289	-120.7081
Three	San Luis Obispo	10/12/2009	7754	45	NORTH	Arson	35.2481	-120.8531
Three	San Luis Obispo	10/14/2009	7878	0.1	COUNTRY OAK WY / LOPEZ DR	Undetermined	35.1461	-120.5511
Three	San Luis Obispo	10/17/2009	7959	10	PLANT	Undetermined	35.2561	-120.8881
Three	San Luis Obispo	10/30/2009	8298	0.1	HWY 46W  / VINEYARD DR	Undetermined	35.5531	-120.7611
Three	San Luis Obispo	10/31/2009	8306	3	LOPEZ	Undetermined	35.21	-120.485
Three	San Luis Obispo	11/1/2009	8337	1	RIM ROCK	Campfire	35.0711	-120.5061
Three	San Luis Obispo	11/8/2009	974	0.1		Undetermined	34.9969	-120.35
Three	San Luis Obispo	11/8/2009	8495	84	HIGHWAY	Campfire	35.0161	-120.3561
Three	San Luis Obispo	11/15/2009	8693	0.1	HOLLISTER LN  LOS_OSOS	Undetermined	35.3189	-120.8239
Three	San Luis Obispo	11/29/2009	9054	0.1	HI MOUNTAIN RD / HI MOUNT	Undetermined	35.25	-120.3839
Three	San Luis Obispo	11/30/2009	9093	0.3	S HWY 101  /S HIGUERA ST	Undetermined	35.2239	-120.6919
Three	San Luis Obispo	12/2/2009	9122	0.1	TEMATATTE RIDGE RD  SLO_C	Undetermined	35.0881	-120.4839
Three	San Luis Obispo	12/8/2009	9275	1	CUESTA GRADE NB(MIDDLE) S	Undetermined	35.3331	-120.6239
Three	San Luis Obispo	12/15/2009	9452	0.1	BUCKLEY RD / HOOVER RD	Undetermined	35.2361	-120.6561
Three	San Luis Obispo	1/2/2010	5	5		Undetermined	35.0289	-120.1931
Three	San Luis Obispo	1/15/2010	397	0.1	N HWY 101  /W TEFFT ST N	Undetermined	35.0489	-120.495
Three	San Luis Obispo	1/16/2010	423	0.1	ROLLING RANCH RD  SLO_CO	Undetermined	35.5531	-120.6039
Three	San Luis Obispo	1/18/2010	483	0.1	14 SLO_CO	Campfire	35.46	-120.7469
Three	San Luis Obispo	1/28/2010	855	0.1	STENNER CREEK RD  SLO_CO	Undetermined	35.3081	-120.6811
Three	San Luis Obispo	1/30/2010	915	0.1	LA CUMBRE LN / PABLO LN	Undetermined	35.0139	-120.5069
Three	San Luis Obispo	2/1/2010	971	0.1	FIRE	Undetermined	35.1411	-120.5769
Three	San Luis Obispo	2/6/2010	1072	0.1	W TEFFT ST /N LAS FLORES	Undetermined	35.0139	-120.5039
Three	San Luis Obispo	2/8/2010	1156	0.1	JUNIPER ST /N FRONTAGE RD	Undetermined	35.04	-120.4881
Three	San Luis Obispo	2/17/2010	1378	0.1	VIA PALOMA   SLO_CO	Undetermined	35.5981	-120.6811
Three	San Luis Obispo	2/18/2010	1397	0.1	EUCALYPTUS RD / OSAGE ST	Undetermined	35.0211	-120.5119
Three	San Luis Obispo	2/20/2010	1441	0.1	ORCUTT RD / TANK FARM RD	Undetermined	35.2611	-120.6211
Three	San Luis Obispo	2/20/2010	1443	0.1	LEWIS LN  SLO_CO	Undetermined	35.2069	-120.62
Three	San Luis Obispo	2/28/2010	1637	0.1	OLD OAK PARK RD / MOORE L	Undetermined	35.1531	-120.5989
Three	San Luis Obispo	3/16/2010	2025	0.1	HORIZON LN / SANTA RITA R	Undetermined	35.5289	-120.7419
Three	San Luis Obispo	3/19/2010	2103	0.1	11TH ST  LOS_OSOS	Undetermined	35.3239	-120.8311
Three	San Luis Obispo	3/22/2010	2182	0.1	BAY ST / DOLLIVER ST	Undetermined	35.1461	-120.645
Three	San Luis Obispo	3/26/2010	2264	0.1	PRINTZ	Arson	35.1411	-120.5761
